gen,ind,genome,fitness
306,0,0,5.286190986633301
306,1,0,4.455418109893799
306,2,0,6.8089280128479
306,3,0,4.628076553344727
306,4,0,7.7853803634643555
306,5,0,6.190625190734863
306,6,0,0.7937317490577698
306,7,0,8.385091781616211
306,8,0,4.847233772277832
306,9,0,8.697522163391113
306,10,0,7.849478721618652
306,11,0,7.208913803100586
306,12,0,7.445496559143066
306,13,0,8.037732124328613
306,14,0,-7.585396766662598
306,15,0,6.809083938598633
306,16,0,6.164888381958008
306,17,0,5.948739528656006
306,18,0,11.127182960510254
306,19,0,9.611042976379395
306,20,0,5.822766304016113
306,21,0,5.818999767303467
306,22,0,7.167857646942139
306,23,0,8.769935607910156
306,24,0,9.107331275939941
306,25,0,8.480952262878418
306,26,0,5.680822372436523
306,27,0,7.892561912536621
306,28,0,6.318436145782471
306,29,0,9.33619213104248
306,30,0,6.749662399291992
306,31,0,8.167695045471191
306,32,0,7.957767486572266
306,33,0,8.458504676818848
306,34,0,12.831841468811035
306,35,0,8.402753829956055
306,36,0,6.517333030700684
306,37,0,8.280705451965332
306,38,0,3.5832109451293945
306,39,0,3.7901272773742676
306,40,0,6.748079299926758
306,41,0,8.880748748779297
306,42,0,7.543420791625977
306,43,0,5.675151824951172
306,44,0,7.064671039581299
306,45,0,5.340538024902344
306,46,0,6.688002586364746
306,47,0,5.586808204650879
306,48,0,10.888761520385742
306,49,0,9.049108505249023
